date,transect_id,NDVI
2016-11-29,T15,-0.41737520694732666
2016-11-29,T16,-0.41737520694732666
2016-11-29,T17,-0.41737520694732666
2016-11-29,T18,-0.41737520694732666
2016-11-29,T19,-0.41737520694732666
2016-12-18,T1,
2016-12-18,T2,
2016-12-18,T3,
2016-12-18,T4,
2016-12-18,T5,
2016-12-18,T6,
2016-12-18,T7,
2016-12-18,T8,
2016-12-18,T9,
2016-12-18,T10,
2016-12-18,T11,
2016-12-18,T12,
2016-12-18,T13,
2016-12-18,T14,
2016-12-18,T15,
2016-12-18,T16,
2016-12-18,T17,
2016-12-18,T18,
2016-12-18,T19,
2017-01-07,T1,
2017-01-07,T2,
2017-01-07,T3,
2017-01-07,T4,
2017-01-07,T5,
2017-01-07,T6,
2017-01-07,T7,
2017-01-07,T8,
2017-01-07,T9,
2017-01-07,T10,
2017-01-07,T11,
2017-01-07,T12,
2017-01-07,T13,
2017-01-07,T14,
2017-01-07,T15,
2017-01-07,T16,
2017-01-07,T17,
2017-01-07,T18,
2017-01-07,T19,
2017-02-16,T1,
2017-02-16,T2,
2017-02-16,T3,
2017-02-16,T4,
2017-02-16,T5,
2017-02-16,T6,
2017-02-16,T7,
2017-02-16,T8,
2017-02-16,T9,
2017-02-16,T10,
2017-02-16,T11,
2017-02-16,T12,
2017-02-16,T13,
2017-02-16,T14,
2017-02-16,T15,
2017-02-16,T16,
2017-02-16,T17,
2017-02-16,T18,
2017-02-16,T19,
2017-02-26,T1,
2017-02-26,T2,
2017-02-26,T3,
2017-02-26,T4,
2017-02-26,T5,
2017-02-26,T6,
2017-02-26,T7,
2017-02-26,T8,
2017-02-26,T9,
2017-02-26,T10,
2017-02-26,T11,
2017-02-26,T12,
2017-02-26,T13,
2017-02-26,T14,
2017-02-26,T15,
2017-02-26,T16,
2017-02-26,T17,
2017-02-26,T18,
2017-02-26,T19,
2017-03-05,T1,-0.2838909327983856
2017-03-05,T2,-0.2838909327983856
2017-03-05,T3,-0.2838909327983856
2017-03-05,T4,-0.2838909327983856
