dates,transect_id,longitude,latitude
2021-10-08 05:37:42+00:00,T1,266784.7993408739,580475.1693765065
2021-10-08 05:37:42+00:00,T2,266701.86248420284,580568.8548864583
2021-10-08 05:37:42+00:00,T3,266624.19667755975,580599.1815126173
2021-10-08 05:37:42+00:00,T4,266575.83798468736,580601.8696560481
2021-10-08 05:37:42+00:00,T5,266544.4749195169,580600.296908011
2021-10-08 05:37:42+00:00,T6,266518.5163744895,580598.8784764536
2021-10-08 05:37:42+00:00,T7,266492.33709109074,580598.3720579366
2021-10-08 05:37:42+00:00,T8,266456.21309060254,580597.8641645331
2021-10-08 05:37:42+00:00,T9,266397.478663928,580591.8724064938
2021-10-08 05:37:42+00:00,T10,266318.97050925664,580551.4809482676
2021-10-08 05:37:42+00:00,T11,266337.16546114575,580497.5550987996
2021-10-08 05:37:42+00:00,T12,266404.63927137747,580470.6477926768
2021-10-08 05:37:42+00:00,T13,266461.2394234682,580462.6206441851
2021-10-08 05:37:42+00:00,T14,266493.26126030996,580461.6497579586
2021-10-08 05:37:42+00:00,T15,266519.6186819776,580460.2251601608
2021-10-08 05:37:42+00:00,T16,266544.6651583961,580456.4192812042
2021-10-08 05:37:42+00:00,T17,266579.6207728734,580451.3152150017
2021-10-08 05:37:42+00:00,T18,266633.4554270393,580439.6758402436
2021-10-08 05:37:42+00:00,T19,266716.58982968045,580431.749230366
2021-10-13 05:37:47+00:00,T1,266775.83546843653,580482.9500250034
2021-10-13 05:37:47+00:00,T2,266701.71784064407,580568.5174426808
2021-10-13 05:37:47+00:00,T3,266623.54948137776,580594.6133968484
2021-10-13 05:37:47+00:00,T4,266575.8491251777,580601.4954793731
2021-10-13 05:37:47+00:00,T5,266544.51822788775,580599.3741489454
2021-10-13 05:37:47+00:00,T6,266518.53297911945,580598.4065348521
2021-10-13 05:37:47+00:00,T7,266492.35828891693,580597.634041492
2021-10-13 05:37:47+00:00,T8,266456.27214132715,580596.427744914
2021-10-13 05:37:47+00:00,T9,266397.30247669574,580592.8203407293
2021-10-13 05:37:47+00:00,T10,266315.9082375423,580553.4268796155
2021-10-13 05:37:47+00:00,T11,266339.99127855524,580499.4950939665
2021-10-13 05:37:47+00:00,T12,266405.5246869582,580476.9651674405
2021-10-13 05:37:47+00:00,T13,266461.7899753822,580471.143593152
2021-10-13 05:37:47+00:00,T14,266493.5922907769,580470.4176689069
2021-10-13 05:37:47+00:00,T15,266519.9498733962,580466.5348123396
2021-10-13 05:37:47+00:00,T16,266545.29310774006,580463.195880303
2021-10-13 05:37:47+00:00,T17,266580.855054691,580457.9407102668
2021-10-13 05:37:47+00:00,T18,266629.3961160148,580459.2809066538
